Name,Barcode,Reference,Salesprice,Stock
"Display cut-off wheel + 30 boxes/10p. 125x1,0x22,23 AS60I st",,010343B,1022.76,0
"Cut-off wheel 125x2,5x22,23 AS30T metal depressed",4081600123050,010021A,2.8,0
"Cut-off wheel 125x2,2x22,23 AS30S stainl.steel flat",,010036A,2.408,0
"Cut-off wheel 125x2,0x22,23 AS24I stainl.steel flat",,010036B,2.408,0
"Grinding wheel 125x6,0x22,23 AS46 alu depressed",4081600323078,010168B,4.4,0
"Cut-off wheel 125x2,5x22,23 AS30S stainl.steel flat",,010169B,2.05,125
"Cut-off wheel 125x1,6x22,23 A46R metal flat",4081600120035,010384B,2,50
"Cut-off wheel 125x1,2x22,23 C60R stone flat",4081600120042,010360B,2.3,300
"Cut-off wheel 125x1,6x22,23 AS46V stainl.steel flat",4081600121148,010386B,2.4,250
"Cut-off wheel 125x1,0x22,23 AS60T stainl.steel flat - box pr",4081600701067,010351B,24.25,20
"Cut-off wheel 125x2,5x22,23 AS30S stainl.steel depressed",4081600123302,010037A,2.05,0
"Cut-off wheel 125x2,0x22,23 AS30T metal depressed",4081600123043,010020A,2,50
"Cut-off wheel 125x3,0x22,23 A24R metal depressed",4081600122008,010052A,1.9,850
"Cut-off wheel 125x3,0x22,23 AS30S metal depressed",4081600123005,010011A,2,1350
"Cut-off wheel 125x2,2x22,23 AS36V metal flat",4081600121254,010372B,2.5,0
"Cut-off wheel 125x3,0x22,23 AS30 alu depressed",4081600123067,010028A,2.408,0
"Cut-off wheel 125x3,0x22,23 AS30S metal flat",4081600121001,010180B,2,0
"Grinding wheel 125x3,0x22,23 AS36TX metal depressed",,010394B,7.65,10
"Cut-off wheel 125x3,0x22,23 AS24I stainl.steel flat",4081600123081,010038A,2.408,0
"Cut-off wheel 125x3,0x22,23 AS30V metal depressed",4081600123203,010002A,2.4,225
"Cut-off wheel 125x3,0x22,23 A24R metal flat",4081600120004,010183B,1.9,25
"Cut-off wheel 125x3,0x22,23 C24R stone depressed",4081600127003,010072A,1.9,275
"Cut-off wheel 125x3,0x22,23 CS24R stone depressed",4081600128000,010058A,2,100
"Cut-off wheel 125X3,0x22,23 CS30S stone depressed",4081600128109,010065A,2.515,0
"Cut-off wheel 125x3,0x22,23 CS24R stone flat",4081600126006,010186B,2,0
"Cut-off wheel 125x3,0x22,23 C24R stone flat",4081600125009,010187B,1.9,0
"Cut-off wheel 125x3,0x22,23 AS30SHT metal depressed",4081600123012,010006A,2.675,0
"Grinding wheel 125x6,0x22,23 A30T metal depressed",4081600320022,010103A,3.55,130
"Grinding wheel 125x6,0x22,23 AS24/30T metal depressed",,010345B,1.25,0
"Grinding wheel 125x6,0x22,23 AS30R metal depressed",4081600323009,010092A,3.8,540
"Grinding wheel 125x6,0x22,23 AS30S stainl.steel depressed",4081600323061,010098A,4.4,160
"Grinding wheel 125x6,0x22,23 CS30S stone depressed",4081600323108,010108A,3.8,70
"Cut-off wheel 150x2.2x22,23 AS30I stainl.steel flat",,010346B,3.692,0
"Cut-off wheel 150x3,0x22,23 AS30I stainl.steel flat",,010191B,3.692,0
"Cut-off wheel 150x3,0x22,23 AS30S metal flat",4081600131024,010012A,2.7,0
"Cut-off wheel 150x3,0x22,23 CS24R stone flat",4081600136012,010059A,2.7,150
"Grinding wheel 150x6,0x22,23 A30T metal depressed",4081600330021,010150B,4.3,0
"Grinding wheel 150x6,0x22,23 AS30I stainl.steel depressed",,010193B,6.634,0
"Grinding wheel 150x6,0X22,23 AS30R metal depressed",4081600333008,010093A,4.6,0
"Grinding wheel 150x6,0x22,23 CS30S stone depressed",,010194B,4.6,10
"Cut-off wheel 180x2,5x22,23 AS30S stainl.steel depressed",4081600143300,010040A,4.65,25
"Cut-off wheel 180x2,5x22,23 AS30T metal depressed",4081600143027,010023A,3.7,0
"Cut-off wheel 180x2,2x22,23 AS30S stainl.steel flat",4081600141290,010039A,3.21,0
"Cut-off wheel 180x1,6x22,23 AS46T stainl.steel depressed",,010347B,3.25,0
"Cut-off wheel 180x2,0x22,23 AS30T metal flat",4081600141047,010022A,3,0
"Cut-off wheel 180x2,0x22,23  AS30T metal depressed",,010204B,2.95,0
"Cut-off wheel 180x3,0x22,23 A24R metal flat",4081600140002,010053A,2.75,50
"Cut-off wheel 180x3,0x22,23 A24R metal depressed",4081600142006,010206B,2.95,0
"Cut-off wheel 180x3,0x22,23 AS30S metal flat",4081600141009,010013A,2.95,0
"Cut-off wheel 180x3,0x22,23 AS30 alu flat",4081600141023,010029A,2.05,0
"Cut-off wheel 180x3,0x22,23 AS30V metal flat",4081600141214,010003A,3.85,0
"Grinding wheel 180x4,0x22,23 AS36TX metal depressed",,010395B,16.6,10
"Cut-off wheel 180x3,0x22,23 AS24I stainl.steel",4081600141085,010041A,3.157,0
"Cut-off wheel 180x3,0x22,23 C24R stone flat",4081600145007,010073A,2.85,75
"Cut-off wheel 180x3,0x22,23 CS24R stone flat",4081600146004,010060A,3,25
"Cut-off wheel 180X3,0x22,23 CS30S stone flat",4081600146035,010066A,3.21,0
"Cut-off wheel 180x3,0x22,23 AS30SHT metal flat",4081600141016,010007A,3.638,0
"Cut-off wheel 180x4,0x22,23 AS30I stainl.steel depressed",,010209B,6.367,0
"Grinding wheel 180x6,0x22,23 A30T metal depressed",4081600340020,010104A,5.2,100
"Grinding wheel 180x6,0x22,23 AS24/30T metal depressed",4081600343052,010210B,5.885,0
"Grinding wheel 180x6,0x22,23 AS30S stainl.steel depressed",,010099A,6.55,70
"Grinding wheel 180x6,0x22,23 AS30R metal depressed",4081600343014,010094A,5.4,0
"Grinding wheel 180x6,0x22,23 AS46 alu depressed",4081600343076,010212B,6.15,0
"Grinding wheel 180x6,0x22,23 CS30S stone depressed",4081600343106,010109A,5.4,0
"Grinding wheel 180x8,0x22,23 AS30R metal depressed",4081600343007,010214B,7.918,0
"Cut-off wheel 230x2,5x22,23 AS30S stainl.steel flat",4081600151305,010043A,4.55,750
"Cut-off wheel 230x2,5x22,23 AS30T metal depressed",4081600153040,010025A,2.8,0
"Cut-off wheel 230x2,5x22,23 AS30S stainl.steel depressed",4081600153309,010215B,4.65,0
"Cut-off wheel 230x2,2x22,23 AS30S stainl.steel flat",4081600151299,010042A,4.494,0
"Grinding wheel 230x6,0x22,23 AS24/30T metal depressed",,010217B,7.49,0
"Cut-off wheel 230x1,9x22,23 AS46T stainl.steel depressed",4081600153118,010338B,4.65,2800
"Cut-off wheel 230x1,9x22,23 C46R stone depressed",4081600157116,010391B,5.75,0
"Cut-off wheel  230x2.5x22,23 A24R Qual.",4081600150025,010221B,3.638,0
"Cut-off wheel 230x2,0x22,23 AS30T metal flat",4081600151046,010024A,4.45,0
"Cut-off wheel 230x3,0x22,23 A24R metal flat",4081600150001,010054A,3.9,2325
"Cut-off wheel 230x3,0x22,23 A24R metal depressed",4081600152005,010228B,4,0
"Cut-off wheel 230X3,0x22,23 AS24I stainl.steel flat",,010044A,4.12,0
"Cut-off wheel 230x3,0x22,23 AS30S metal flat",4081600151008,010014A,4.45,2200
"Cut-off wheel 230x3,0x22,23 AS30 alu flat",4081600151022,010030A,2.35,0
"Cut-off wheel 230x3,0x22,23 AS30V metal flat",4081600151206,010004A,5.7,3925
"Cut-off wheel 230x3,0x22,23 AS30S metal depressed",4081600153002,010231B,4.55,0
"Cut-off wheel 230x3,0x22,23 C24R stone flat",4081600155006,010074A,3.95,175
"Cut-off wheel 230x3,0x22,23 C24R stone depressed",4081600157000,010235B,4.05,0
"Cut-off wheel 230x3,0x22,23 CS24R stone flat",4081600156003,010061A,4.45,275
"Cut-off wheel 230x3,0x22,23 CS30S stone flat",4081600156034,010067A,4.655,0
"Cut-off wheel 230x3,0x22,23 AS30SHT metal flat",4081600151015,010008A,5.136,0
"Grinding wheel 230x6,0x22,23 A30T metal depressed",4081600350029,010105A,7.6,90
"Grinding wheel 230x6,0x22,23 AS30R metal depressed",4081600353006,010095A,8.05,230
"Grinding wheel 230x6,0x22,23 AS30S stainl.steel depresed",,010100A,8.7,318
"Grinding wheel 230x6,0x22,23 AS46 alu depressed",4081600353075,010242B,8.7,0
"Grinding wheel 230x6,0x22,23 CS30S stone depressed",4081600353105,010110A,9.1,40
"Grinding wheel 230x8,0x22,23 A30T metal depressed",,010243B,14.017,29
"Grinding wheel 230x8,0x22,23 AS30R metal depressed",,010244B,13.75,108
"Reduction cut-off wheel 25,40 / 20,00 mm",,010245B,0,0
"Reduction cut-off wheel 25,40 / 22,23 mm",,010246B,2.082,0
"Cut-off wheel 250x3.0x30,00 AS30S metal flat",,010247B,8.4,0
"Cut-off wheel 250x3,0x25,40 AS30S metal station.mach. flat",4081600159004,010348B,8.721,0
"Cut-off wheel 250x3.0x32,00 AS30S metal flat",,010076A,8.721,0
"Cut-off wheel 250x3,0x25,40 CS24R stone flat",4081600269505,010084A,9.684,0
"Reduction cut-off wheel 30,00 / 25,40 mm",,010249B,0,0
"Cut-off wheel 350x4,0x20,00 CS24R stone freehand mach. flat",4081600176001,010349B,17.4,0
"Cut-off wheel 300x2,8x25,40 AS36T metal chop saw flat",4081600261103,010082A,9.9,50
"Cut-off wheel 300x4,5x25,40 CS24R stone freehand mach. flat",4081600166026,010085A,11.663,0
"Cut-off wheel 300x2,8x25,40 AS30T metal station.mach. flat",,010251B,13.696,0
"Cut-off wheel 300x3,5x25,40 AS30S metal freehand mach. flat",4081600161021,010252B,11.35,0
"Cut-off wheel 300x3,5x25,40 CS30S stone freehand mach. flat",,010253B,15.836,0
"Cut-off wheel 300x2,8x25,40 A36R metal station.mach. flat",,010379B,9.63,0
"Cut-off wheel 300x2,8x25,40 AS36 stainl.steel chop saw flat",4081600260151,010374B,10.4,0
"Cut-off wheel 300x2.8x30,00 AS36T metal flat",,010255B,9.737,0
"Cut-off wheel 300x3,0x25,40 AS30T metal station.mach. flat",,010256B,14.445,0
"Cut-off wheel 300x3,5x20,00  AS30S metal freehand mach flat",4081600161007,010015A,11.35,0
"Cut-off wheel 300x4,0x20,00 CS24R stone freehand mach. flat",4081600166002,010258B,11.8,0
"Cut-off wheel 300x3,0x30,00 CS30S stone station.mach. flat",,010260B,15.836,0
"Cut-off wheel 300x2,8x30,00 AS30R metal station.mach. flat",,010261B,9.737,0
"Cut-off wheel 300x3,5x25,40 AS30S metal station.mach. flat",4081600260014,010077A,13.9,0
"Cut-off wheel 300x3,5x30,00 AS30S metal station.mach. flat",,010266B,14.873,0
"Cut-off wheel 300x3,5x25,40 AS24I stainl.steel flat",,010045A,10.807,0
"Cut-off wheel 300x3,5x32,00 AS30S metal station.mach. flat",4081600260038,010269B,13.9,0
"Cut-off wheel 300x3,5x40,00 AS30S metal station.mach. flat",,010270B,14.873,0
"Cut-off wheel 300x3,5x22,23 A24R metal flat",4081600160017,010055A,10.272,0
"Cut-off wheel 300x3,5x25,40 CS24R stone station.mach. flat",,010271B,16.371,0
"Cut-off wheel 300x3,5x22,23 AS30S metal freehand mach. flat",4081600161014,010272B,11.35,25
"Cut-off wheel 300x4,0x22,23 CS24R stone freehand mach flat",,010062A,11.8,0
"Cut-off wheel 300x4,0x25,40 CS24R stone freehand mach. flat",,010273B,0,0
"Cut-off wheel 300x4,0x22,23 C24R stone freehand mach. flat",4081600165012,010075A,10.433,0
"Cut-off wheel 300x4,0x22,23 CS24R stone flat",,010068A,11.663,0
"Cut-off wheel 300x4,0x22,23 CS24R stone freehand mach. flat",,010276B,11.663,0
"Reduction cut-off wheels 32,20 / 30,20 mm",,010366B,2.132,41
"Cut-off wheel 350x4,0x22,23 AS30S metal freehand mach. flat",4081600171013,010278B,18.351,0
"Cut-off wheel 350x3,5x32,0 AS24R metal station.mach. fl",,010280B,13.95,5
"Cut-off wheel 350x4,0x20,00 AS30S metal freehand mach flat",4081600171006,010016A,15.75,120
"Cut-off wheel 350x3,5x32,00 AS30S metal station.mach. flat",4081600270037,010282B,20.17,0
"Cut-off wheel 350x3,5x30,00 AS30S metal station.mach. flat",4081600270020,010283B,20.17,0
"Cut-off wheel 350x3,5x25,40 CS24R stone station.mach. flat",4081600275109,010086A,18.886,0
"Cut-off wheel 350x3,0x25,40 A36R metal station.mach. flat",,010380B,11.235,0
"Cut-off wheel 350x4,0x22,23 CS30S stone freehand mach flat",,010069A,15.676,0
"Cut-off wheel 350x3,0x25  AS36T metal chop saw flat",4081600271102,010083A,12.85,300
"Cut-off wheel 350x3,0x25,40 A36R metal station.mach. flat",,010285B,11.235,0
"Cut-off wheel 350x3,0x25,40 AS36 stainl.steel chop saw flat",4081600270150,010375B,13.5,0
"Cut-off wheel 350x3,5x22,23 AS24I stainl.steel. flat",,010289B,13.91,0
"Cut-off wheel 350x3,5x25,40 AS30S metal station.mach. flat",,010078A,20.45,0
"Cut-off wheel 350x3,5x35,00 AS30S metal station.mach. flat",,010293B,20.17,0
"Cut-off wheel 350x3,5x40,00 AS30S metal station.mach. flat",,010294B,20.17,0
"Cut-off wheel 350x4,0x22,23 CS24R stone freehand mach flat",4081600176018,010063A,17.12,0
"Cut-off wheel 350x3,5x22,23 CS24R stone flat",,010299B,17.495,0
"Cut-off wheel 350x4,0x25,40 AS30S metal freehand mach. flat",4081600171020,010303B,15.75,0
"Cut-off wheel 350x3,0x25,40 CS36T stone station.mach. flat",4081600275100,010304B,14.499,0
"Reduction cut-off wheels 40,00 / 25,40 mm",,010306B,0,0
"Reduction cut-off wheels 40,00 / 30,00 mm",,010307B,2.775,12
"Cut-off wheel 400x4,0x22,23 AS30S metal flat",,010308B,26.215,0
"Cut-off wheel 400x3,2x25,40 AS36T metal station.mach. flat",,010309B,21.935,0
Cut-off wheel 400x3.2x25.40 A36R metal station.mach. flat,,010390B,17.067,0
"Cut-off wheel 400x3,2x25,40 AS30R metal station.mach. flat",4081600281200,010310B,21.293,0
"Cut-off wheel 400x3,0x25,40 AS36 stainl.steel chop saw flat",4081600280159,010376B,20.277,0
Cut-off wheel 400x4.0x25.40 CS24R stone flat,4081600285208,010087A,24.878,0
"Cut-off wheel 400x4,0x25,40 AS30S metal station.mach. flat",,010079A,26.804,0
"Cut-off wheel 400x4,0x40,00 AS30S metal station.mach. flat",,010313B,26.55,0
"Cut-off wheel 400x4,0x25,40 AS30S metal station.mach. flat",,010315B,26.55,10
"Cut-off wheel 400x4,0x30,00 AS30S metal flat",,010316B,26.215,0
"Cut-off wheel 400x4,0x32,00 AS24R metal flat",,010317B,23.059,0
"Cut-off wheel 400x4,0x32,00 AS30S metal station. mach. flat",4081600280036,010318B,26.55,0
"Cut-off wheel 450x4,5x25,40 AS30S metal station.mach. flat",4081600286007,010080A,37.664,0
"Cut-off wheel 450x4.5x30,00 AS30S metal station.mach. flat",,010320B,31.833,5
"Cut-off wheel 450x4,5x32,00 AS30S metal station.mach. flat",,010321B,37.664,0
"Cut-off wheel 450x4,5x25,40 CS24R stone flat",,010088A,35.685,0
"Cut-off wheel 500x5,0x25.40 CS24R stone flat",4081600295009,010089A,58.636,0
"Cut-off wheel 500x5,0x25,40 AS30S metal station.mach. flat",4081600290004,010081A,56.871,0
"Cut-off wheel 70x2,0x10,0 AS46T metal flat",,010325B,1.873,18
"Cut-off wheel 75x2,0x10,0 metal flat",,010350B,2.247,0
"Cut-off wheel 76x1,2x10,0 AS46T metal flat",4081600640045,010326B,2.25,0
Reduction ( carton ) cut-off wheels,,010368B,0,0
"Supporting disc 117x22,23 for cut-off wheels 180 AS36TX",4081600624014,010397B,5.083,0
"Supporting disc 85x22,23 for cut-off wheels 115 - 125 AS36TX",4081600621068,010396B,3.852,0
"Cut-off wheel Sadu 115x1,0x22,23 AZ46 stainl.steel flat",5412605030279,010352B,1.2,-40099
"Cut-off wheel Sadu 115x2.5x22,23 A30R metal depressed",5412605030019,010111A,1.2,-125
"Cut-off wheel Sadu 115x3,0x22,23 A30R metal depressed/per 5",5412605030170,010129A,7.05,0
"Cut-off wheel Sadu 115x2,5x22,23 A30R metal flat",5412605030262,010335B,1.2,450
"Cut-off wheel Sadu 115x2.5x22,23 C30R stone depressed",5412605030026,010120A,1.45,-800
"Cut-off wheel Sadu 115x3,0x22,23 C30S stone depressed/per 5",5412605030187,010132A,6.85,0
"Grinding wheel Sadu 115x6,4x22,23 A30R metal depressed",5412605030033,010116A,1.9,-1850
"Grinding wheel Sadu 115x6,4x22,23 C30R stone depressed",5412605030040,010125A,2.3,1120
"Cut-off wheel Sadu 125x1,6x22,23 A46T stainl.steel flat",5412605030293,010355B,1.6,2625
"Cut-off wheel Sadu 125x1,0x22,23 AZ46 stainl.steel flat",5412605030286,010353B,1.55,22476
"Cut-off wheel Sadu 125x2,5x22,23 A30R metal depressed",5412605030057,010112A,1.3,1400
"Cut-off wheel Sadu 125x3,0x22,23 A30R metal depressed/per 5",5412605030194,010130A,7.7,0
"Cut-off wheel Sadu 125x2,5x22,23 A30R metal flat",5412605030255,010336B,1.3,3500
"Cut-off wheel Sadu 125x2.5x22,23 C30R stone depressed",5412605030064,010121A,1.5,1050
"Cut-off wheel Sadu 125x3,0x22,23 C30R stone depressed/per 5",5412605030200,010133A,8.15,3
"Grinding wheel Sadu 125x6,4x22,23 A30R metal depressed",5412605030071,010117A,2.25,-3965
"Grinding wheel Sadu 125x6,4x22,23 C30R stone depressed",5412605030088,010126A,2.95,300
"Cut-off wheel Sadu 180x3,0x22,23 A30R metal flat",5412605030095,010113A,2.6,0
"Cut-off wheel Sadu 180x3,0x22,23 C30S stone flat",5412605030101,010122A,3.1,875
"Grinding wheel Sadu 180x6,4x22,23 A30R metal depressed",5412605030118,010118A,4.35,90
"Grinding wheel Sadu 180x6,4x22,23 C24R stone depressed",5412605030163,010127A,5.2,130
"Cut-off wheel Sadu 230x3,0x22,23 A30R metal flat",5412605030125,010114A,3.45,4675
"Cut-off wheel Sadu 230x3,0x22,23 A30R metal flat / per 5",5412605030217,010131A,12.9,0
"Cut-off wheel Sadu 230x3,0x22,23 A30R metal depressed",5412605030231,010115A,3.45,-550
"Cut-off wheel Sadu 230x2,5x22,23 C30S stone flat",5412605030132,010123A,4.35,942
"Cut-off wheel Sadu 230x3,0x22,23 C30S stone flat/per 5",5412605030224,010134A,14.6,202
"Cut-off wheel Sadu 230x3,0x22,23 C30S stone depressed",5412605030248,010124A,4.35,1125
"Grinding wheel Sadu 230x6,4x22,23 A30R metal depressed",5412605030149,010119A,6.2,1750
"Grinding wheel Sadu 230x6,4x22,23 C30R stone depressed",5412605030156,010128A,8.05,235
Angle grinder pad dia 100 M10,5412605040018,030001A,6.85,-24
Angle grinder pad dia 100 M14,5412605040025,030002A,6.85,0
Polishing adapter white 115x15mm,5412605040339,030042A,7.326,0
Polishing sponge 115x30mm,5412605880164,030039A,6.581,0
Angle grinder pad dia 115 M10,5412605040032,030055B,6.75,0
Angle grinder pad dia 115 M14,5412605040049,030003A,6.85,355
Polishing pad (synthetic) dia 120 mm,5412605040124,030048A,4.861,46
Angle grinder pad dia 125 M10,5412605040056,030056B,6.8,0
Angle grinder pad dia 125 M14,5412605040063,030004A,8.5,215
Polishing pad (sheep wool) dia 125 mm,5412605040131,030045A,9.805,26
Polishing sponge 125x30mm,5412605040148,030040A,7.603,0
Polishing pad (synthetic) dia 130 mm,5412605040155,030049A,5.911,0
Polishing pad (sheep wool) dia 135 mm,5412605040162,030046A,6.907,0
Quick grip pad dia 150 Festo 8+1 holes,5412605040179,030037A,36.936,338
Angle grinder pad dia 150 M14,5412605040070,030005A,10.6,46
"Quick grip pad dia 150 Rupes 5/16"" 6 holes",5412605040186,030038A,32.233,0
Polishing sponge 150x30mm,5412605040193,030041A,8.443,0
Polishing pad (synthetic) dia 153 mm,5412605040209,030050A,7.123,6
Polishing pad (sheepwool) dia 160 mm,5412605040216,030047A,8.443,0
Angle grinder pad dia 180 M14 - ref 309,5412605881031,030061B,16.9,25
"Angle grinder pad dia 180 5/8""",5412605040087,030057B,11.2,1
Angle grinder pad dia 180 M10,5412605040094,030059B,8.5,0
Angle grinder pad dia 180 M14,5412605040100,030006A,11.2,275
Angle grinder pad dia 230 M14,5412605040117,030007A,24.35,215
Manual sanding block 70x125mm rectangular,5412605040322,030054A,8.839,626
Manual sanding block 90x150 mm hand grip,5412605040346,030069B,13.7,158
Manual block/hand grip 90x140m+velcro150 9xG60 9xG100 7xG180,5412605040377,030069P,18.6,0
Manual sanding block/rect.70x125mm + sheets 9xG60 9xG100 7xG,5412605040360,030054P,13.948,102
Nut for angle grinder pad 125 M14,5412605881154,030086B,3.556,0
Nut for angle grinder pad 180 M14,5412605881130,030084B,3.556,0
"Vario Pad 125mm 5/16""UNF+M6+M5",5412605040254,030030A,21.3,0
"Vario Pad 125mm 5/16"" - 24UNF",5412605040261,030032A,34.637,8
Vario Pad 125mm Festo M8,5412605040278,030033A,20.066,0
Vario Pad 150mm Bosch 6 holes,5412605040285,030034A,36.361,0
"Vario Pad 150mm 5/16"" - 24UNF",5412605040292,030035A,30.232,0
Vario Pad 150mm Festo M8,5412605040308,030036A,39.604,37
Flexi-pad sheepskin bonnet dia 125 mm,5412605050017,030051A,11.1,96
Flexi-pad sheepskin bonnet dia 180 mm,5412605050024,030052A,18.204,61
Flexi-pad sheepskin bonnet dia 230 mm,5412605050031,030053A,27.782,19
Reductionring 20/12,5412605100026,150685B,0.515,525
Reductionring 20/13,5412605100033,150686B,0.5,0
Reductionring 20/15,5412605100040,150687B,0.515,135
Reductionring 20/16,5412605100057,150688B,0.515,253
Reductionring 25.4/16,5412605100187,150689B,0.49,0
Reductionring 25.4/22,5412605100064,150690B,0.515,53
Reductionring 25/13,5412605100071,150691B,0.515,505
Reductionring 25/15,5412060100081,150692B,0.49,0
Reductionring 25/16,5412060100098,150693B,0.515,784
Reductionring 25/20,5412060100111,150695B,0.515,934
Reductionring 32/13,5412060100128,150696B,0.49,0
Reductionring 32/15,5412060100135,150697B,0.515,374
Reductionring 32/16,5412060100142,150698B,0.515,0
Reductionring 32/20,5412605100156,150699B,0.515,0
Reductionring 32/25,5412605100163,150700B,0.515,693
Reductionring 32/30,5412605100170,150701B,0.5,488
Endless belt cloth AO 30x540mm G024,,111710B,1.251,0
Endless belt cloth AO 30x540mm G040,,111711B,1.013,0
Endless belt cloth AO 50x1750mm G180,,111712B,6.891,0
Endless belt cloth AO 50x450mm G040,,111713B,1.318,0
Endless belt cloth AO 50x450mm G060,,111714B,1.251,0
Endless belt cloth AO 50x450mm G080,,111715B,1.149,0
Endless belt cloth AO 50x450mm G100,,111716B,1.115,0
Endless belt cloth AO 50x450mm G120,,111717B,1.115,0
Endless belt cloth AO 60x400mm G024,,111718B,1.555,0
Endless belt cloth AO 65x460mm G040,,111719B,1.656,0
Endless belt cloth AO 65x460mm G060,,111720B,1.523,0
Endless belt cloth AO 65x460mm G080,,111721B,1.452,0
Endless belt cloth AO 65x460mm G100,5412605472048,111214B,1.622,0
Endless belt cloth AO 65x460mm G120,,111722B,1.384,0
Endless belt cloth AO 70x900mm G060,,111723B,2.5,0
Endless belt cloth AO 75x406mm G040,,111724B,1.959,0
Endless belt cloth AO 75x406mm G060,,111725B,1.857,0
Endless belt cloth AO 75x406mm G080,,111726B,1.826,0
Endless belt cloth AO 75x406mm G100,,111727B,1.758,0
Endless belt cloth AO 75x480mm G024,,111728B,2.229,0
Endless belt cloth AO 75x510mm G180,,111729B,1.452,0
Endless belt cloth AO 75x510mm G220,,111730B,1.452,0
Endless belt cloth AO 75x510mm G320,,111731B,1.452,0
